01/04/2002|MSP|8:00 PM|1:00 AM|01/04/2002|01/04/2002|FRI|Excalibur Convention Center Location Northwestern Hwy at 12 Mile Road|Singles Dance- Top 40 DJ Cash Bar Hors d'oeuvres 8:00-930 Become a member at the Dance and admission to dance is free Dressy attire no smoking|$5.00|$8:00|Y|7|
01/04/2002|Somer|||01/06/2002|12/15/2001|WE.|Schuss-Shanty Creek|Instructional Ski Weekend|N/A|N/A|Y|7|
01/04/2002|at|8:00 PM|10:00 PM|01/04/2002|01/04/2002|FRI|Argentine Tango Detroit 7750 Auburn Road, Utica Mi 810-254-0560|Beginning Tango Lessons followed by a 2 hour practice party|N/A|N/A|Y|7|
01/04/2002|dance|8:00 PM|11:00 PM|01/04/2002|01/04/2002|FRI|Amber House 7012 E. Nine Mile between Mound and Van Dyke 810-754-3434 http://amberhouse-danceclub.com|Single & Couples Dance to the sounds of the <b>Big Bands</b> 40's 50's 60's Dance lesson 7:00 PM to 8:00 PM|N/A|N/A|Y|7|
01/04/2002|pwpsc|8:15 PM|1:00 AM|01/04/2002|01/04/2002|FRI|V.F.W. Bruce Post Jefferson at Martin Rd. (11 1/2 Mile) St. Clair Shores, Mi.|PWP Regular Friday Night Dance $2.00 discount Before 9:00 PM.  For more information call 313-526-0818 or 810-771-7428  Tell them that you saw it on the Internet.|$10.00|$12.00|Y|7|
01/04/2002|tbird|||01/06/2002|11/05/2001|WE.|Blue Mountain, Ontario, Canada|Two nights at Blue Mountain Inn Contact Jeff Bromley 248-851-8765 jbromley@peoplepc.com|$325|$325|Y|7|
01/05/2002|BethW|8:00 PM||01/05/2002|01/05/2002|SAT|St. Robert Bellmarine gymnasium|Monthly Dance|$9.00|$9.00|Y|7|
01/06/2002|BethE|6:45 PM||01/06/2002|01/06/2002|SUN|Continental Lanes 13 Mile and Gratiot, Roseville|Every other Sunday Bowling Practice starts at 6:45 PM call Diane 810-293-5632|N/A|N/A|Y|7|
01/06/2002|BethR|9:00 AM||01/06/2002|01/06/2002|SUN|St. Andrew's 1234 Inglewood East of Rochester Rd. Between Parkdale and Tienken|Mass breakfast after at Sero's on Walton approx 10:30 AM|N/A|N/A|Y|7|
01/06/2002|BethW|10:00 AM||01/06/2002|01/06/2002|SUN|Redford Inn 5 Mile and Beech Daly|Meet for Breakfast. Those interested meet for Mass at St. Aidan's at 11:30 located at Farmington Road just North of Six Mile|Orde/Menu|Order/Menu|Y|7|
01/06/2002|MSP|5:45 PM|9:30 PM|01/06/2002|01/06/2002|SUN|Drakeshire Lanes 3500 Grand River , Farmington Hills east of Drake Road.|Bowling League 200 in League I and 70 in League II All levels of bowlers are welcome. Subs needed most weeks. Everyone is welcome to come and socialize. This is a non-smoking leagu|N/A|N/A|Y|7|
01/06/2002|allst|7:00 PM|11:00 PM|01/06/2002|01/06/2002|SUN|White Heather Club 150 Vester Ferndale Vester is one block N. of 9 Milr Rd.|Dance Party Dance Lesson 7-8 PM (no) partner Needed Dance lesson $6.00 before 7:00 PM $7.00 after 8:00 PM|$10.00|$10.00|Y|7|
01/07/2002|MSP|6:30 PM|9:30 PM|01/07/2002|01/07/2002|MON|Cowley's Old Village Inn, located at 33338 Grand River Ave east of Farmington Rd. In Farmington next to the Civic Theater.|Euchre-Drop Inn|$5.00|$6.00|Y|7|
01/07/2002|Selsg|6:30 PM||01/07/2002|01/07/2002|MON|Linden|Dance Lessons Beginners at 6:30 Intermediate at 7:30 Car pools can be arranged|$6.00|$7.00|Y|7|
01/07/2002|tbird|||01/07/2002|01/07/2002|MON|Mt Brighton|Discount lift Tickets contact George Gonyo 734-996-0089|N/A|N/A|Y|7|
01/07/2002|Somer|7:00 PM|8:00 PM|01/07/2002|01/07/2002|MON|The World Gym on Groesbeck between 15 Mile and Metro Parkway|Walleyball Every Monday or any Monday bring yourself, Gym shoes and a willingness to have fun. Contact Bill Stanz at 810-463-2530|$5.00|$5.00||0|
01/08/2002|BethW|7:00 PM||01/08/2002|01/08/2002|TUE|Thomas's Family Dining 33971 Plymouth Rd. Between Stark and Farmington Rd|Dinner/coffee & conversation|Order/menu|Order/menu|Y|7|
